38;Sea of Thieves;2;2021;6371289;442012 hours;62017;1504;46006;9495;658;14.41;https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-285x380.jpg
39;SMITE;2;2021;6148540;263254 hours;32803;809;20975;9163;392;23.36;https://static-cdn.jtvnw.net/ttv-boxart/SMITE-285x380.jpg
40;Poker;2;2021;6004831;108249 hours;82555;379;5130;8949;161;55.47;https://static-cdn.jtvnw.net/ttv-boxart/Poker-285x380.jpg
41;Gartic Phone;2;2021;5543156;57456 hours;235915;612;21452;8261;85;96.48;https://static-cdn.jtvnw.net/ttv-boxart/Gartic%20Phone-285x380.jpg
42;World of Tanks;2;2021;5456803;177623 hours;31272;619;10654;8132;264;30.72;https://static-cdn.jtvnw.net/ttv-boxart/World%20of%20Tanks-285x380.jpg
43;Sports;2;2021;5292957;62955 hours;99407;255;7716;7888;93;84.08;https://static-cdn.jtvnw.net/ttv-boxart/Sports-285x380.jpg
44;Magic: The Gathering;2;2021;5029582;102382 hours;20405;320;8356;7495;152;49.13;https://static-cdn.jtvnw.net/ttv-boxart/Magic:%20The%20Gathering-285x380.jpg
45;NBA 2K21;2;2021;5018522;569698 hours;55725;1873;56514;7479;849;8.81;https://static-cdn.jtvnw.net/ttv-boxart/NBA%202K21-285x380.jpg
46;StarCraft II;2;2021;4923188;58100 hours;84674;142;4428;7337;86;84.74;https://static-cdn.jtvnw.net/ttv-boxart/StarCraft%20II-285x380.jpg
47;Mario Kart 8;2;2021;4845856;61760 hours;167720;296;11845;7221;92;78.46;https://static-cdn.jtvnw.net/ttv-boxart/Mario%20Kart%208-285x380.jpg
48;Phasmophobia;2;2021;4551582;389312 hours;127078;1489;75014;6783;580;11.69;https://static-cdn.jtvnw.net/ttv-boxart/Phasmophobia-285x380.jpg
49;Eternal Return: Black Survival;2;2021;4524736;122309 hours;56816;395;9285;6743;182;36.99;https://static-cdn.jtvnw.net/ttv-boxart/Eternal%20Return-285x380.jpg
50;Pokemon Trading Card Game;2;2021;4358974;52491 hours;201453;282;7218;6496;78;83.04;https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20Trading%20Card%20Game%20Online-285x380.jpg
1;Just Chatting;3;2021;270395369;3485083 hours;1086313;8309;469545;363923;4690;77.59;https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-285x380.jpg
2;Grand Theft Auto V;3;2021;184577838;2255433 hours;589654;6387;186339;248422;3035;81.84;https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-285x380.jpg
3;League of Legends;3;2021;149786518;3766997 hours;853781;9222;268051;201596;5069;39.76;https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-285x380.jpg
4;Fortnite;3;2021;117342947;7181301 hours;778187;20333;703686;157931;9665;16.34;https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-285x380.jpg
5;Call of Duty: Warzone;3;2021;90935782;3616466 hours;411804;9322;220122;122390;4867;25.14;https://static-cdn.jtvnw.net/ttv-boxart/Call%20of%20Duty:%20Warzone-285x380.jpg
6;Minecraft;3;2021;87784445;3419021 hours;663533;9509;441025;118148;4601;25.68;https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-285x380.jpg
7;VALORANT;3;2021;87645493;3531041 hours;415809;8033;309748;117961;4752;24.82;https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-285x380.jpg
8;Counter-Strike: Global Offensive;3;2021;72375036;1626300 hours;454393;4379;170319;97409;2188;44.5;https://static-cdn.jtvnw.net/ttv-boxart/Counter-Strike:%20Global%20Offensive-285x380.jpg
9;Apex Legends;3;2021;61043473;4108227 hours;207842;9184;317439;82158;5529;14.86;https://static-cdn.jtvnw.net/ttv-boxart/Apex%20Legends-285x380.jpg
10;Dota 2;3;2021;39978562;659629 hours;230592;1597;31292;53806;887;60.61;https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-285x380.jpg
